date,run_id,commit,lap_completed,lap_time_s,distance_m,total_reward
2026-04-20 10:37 UTC,24661582381,14a3ede,YES,160.59,3618.8,624037.93
2026-04-20 15:33 UTC,24675167127,156498c,,,,
2026-04-20 15:49 UTC,24675787287,59768c3,YES,160.59,3618.8,624037.93
2026-04-20 16:09 UTC,24676746692,3aed0b6,YES,160.59,3618.8,624037.93
2026-04-20 16:48 UTC,24678581500,fe6e08f,YES,150.59,3618.9,615254.62
2026-04-20 17:16 UTC,24679759735,26fea60,YES,152.17,3618.9,622233.85
2026-04-20 17:34 UTC,24680613993,c85dd22,YES,141.09,3619.0,619719.87
